DATE,IP SOURCE,OWNER SOURCE,ID SOURCE,IP TARGET,STATE TARGET,TARGET OWNER,ID TARGET,INTRUSION METHOD,SUCCESS,LOG TRACE,VOTES CHANGED
11/02/2020 17:02:02,229.494.395.824,NET COMM RSV 718 CH SBUH-187 NETLIN,5e:d3:77:87:d5:c4,47.693.301.279,PENNSYLVANIA,LEHIGH COUNTY,e0:51:89:e3:34:9a,*, ,N,TRUMP: DOWN 1397
11/01/2020 16:05:42,708.418.967.869,AVHJ-OU TECH WUHAN,7e:1d:39:6a:a9:7e,245.103.708.16,NEVADA,LYON COUNTY ELECTION,ce:23:98:ba:27:6c,CREDENTIALS, , ,TRUMP: DOWN 4458
11/01/2020 19:51:52,943.322.994.505,TECH RSV,16:75:bf:48:76:88,359.997.897.114,PENNSYLVANIA,WAYNE COUNTY,01:25:48:45:bd:17,FIREWALL, ,N,TRUMP: DOWN 27691
11/02/2020 03:09:50,624.525.732.188,TECHNOLOGY CN,6a:8a:63:2e:2d:e4,873.896.105.549,ARIZONA,COCHISE COUNTY,9f:c4:8c:10:09:c7,CREDENTIALS,U, ,TRUMP: DOWN 38284
11/02/2020 03:22:46,587.472.508.943,NETLIN KJBHJD LTD TECHNOLOGY,a8:23:5f:17:f2:ec,428.998.121.756,GEORGIA,JEFFERSON COUNTY ELECTION,88:e4:43:c7:39:46,CREDENTIALS,Y,Y,TRUMP: DOWN 21902
11/05/2020 22:54:03,815.13.733.517,SINGNET GU POOLS RSV NETWORK POOLS 718,ed:30:5c:ad:f0:71,386.666.966.238,PENNSYLVANIA,MERCER COUNTY,ff:87:10:72:11:56,*,N, ,TRUMP: DOWN 33948
11/03/2020 12:31:50,982.418.82.551,JAPAN CENTER ONLINE IP,32:52:21:27:f7:37,631.675.520.416,GEORGIA,LAURENS COUNTY,95:c9:e9:f4:9b:ae,FIREWALL,Y, ,TRUMP: DOWN 21835
11/01/2020 17:13:57,406.829.866.846,ALLOYS SINGNET KJBHJD LTD COMMERCIAL,31:40:8b:b6:9e:0b,564.258.249.515,NEVADA,LYON COUNTY,db:76:7a:aa:96:a0,FIREWALL,N,Y,TRUMP: DOWN 30269
11/03/2020 01:46:26,250.124.874.741,HPO-SUITE COMMERCIAL ADDRESSES NETLIN ONLINE,61:b5:4c:c6:ef:f3,335.371.359.72,ARIZONA,COCONINO COUNTY ELECTION,93:8f:33:ef:b2:86,FIREWALL,N, ,TRUMP: DOWN 26854
11/03/2020 18:17:27,877.689.279.97,RU SUITE DATA NETWORK,00:2d:fc:9d:a5:f7,569.983.111.265,PENNSYLVANIA,CLARION COUNTY,07:75:69:d1:a2:d4,CREDENTIALS,N, ,TRUMP: DOWN 3834
11/05/2020 15:33:55,39.512.437.755,TECHNOLOGY ETHN WUHAN WEB AVHJ-OU,8a:9b:4c:17:da:4a,203.431.923.269,GEORGIA,CAMDEN COUNTY ELECTION,b6:17:07:21:23:f2,CREDENTIALS,U,N,TRUMP: DOWN 15367
11/02/2020 13:22:12,186.120.434.287,RSV ADDRESSES COMMERCE HPO-SUITE KJBHJD LTD ALK-143 COMM,27:79:12:e2:b5:87,913.407.461.855,GEORGIA,SPALDING COUNTY ELECTION,97:b7:9d:8b:55:ae,CREDENTIALS,Y,N,TRUMP: DOWN 30549
11/03/2020 06:58:15,568.588.310.399,E-LEARNING ADDRESSES,56:ca:14:72:5c:f8,660.769.378.708,MICHIGAN,NEWAYGO COUNTY ELECTION,0a:1e:d0:de:66:61,*,Y,N,TRUMP: DOWN 7220
11/01/2020 08:35:07,980.758.896.349,COMMERCIAL LTD INFORMATION ALK-143 CHINA,13:b5:79:63:11:7f,894.99.335.89,MICHIGAN,BARRY COUNTY,14:e4:61:05:dd:13,BOTH, , ,TRUMP: DOWN 8454
11/01/2020 15:15:09,277.406.874.348,INFORMATION WEB SINGNET ADDRESSES NETW,99:76:b6:f8:5e:23,782.795.250.162,GEORGIA,PUTNAM COUNTY ELECTION,88:21:f5:af:88:40,FIREWALL,Y, ,TRUMP: DOWN 15828
11/01/2020 07:44:43,265.546.904.924,ADDRESSES MOSCOW SWITCHBOARD SERVER DATA WLS,36:cb:40:21:05:c7,922.103.474.250,NEVADA,LYON COUNTY ELECTION,b0:a7:1b:82:79:58,*, ,Y,TRUMP: DOWN 45016
11/04/2020 18:26:30,563.64.936.277,INFRASTRUCTURE WUHAN RU RCV WUHAN,18:e6:86:02:4e:64,673.193.166.428,MICHIGAN,ALLEGAN COUNTY ELECTION,3b:1f:60:71:e0:0c,*, , ,TRUMP: DOWN 47791
11/02/2020 00:56:25,500.787.148.843,INFRASTRUCTURE CN,77:73:8d:6d:c4:5f,774.653.685.639,NEVADA,WHITE PINE COUNTY,5b:d9:2d:65:47:3d,*,U,Y,TRUMP: DOWN 7131
11/02/2020 10:05:04,229.770.935.684,GB BG LKL-21 718 SBUH-187,9d:d0:76:7e:42:79,297.644.78.879,NEVADA,LANDER COUNTY ELECTION,ad:fc:48:d2:60:71,*,Y, ,TRUMP: DOWN 23252
11/01/2020 02:23:07,920.357.347.603,NET NETLIN ADDRESSES INFORMATION ADDRESSES CHINA SERVER,d0:c3:07:1e:24:b0,192.920.440.719,GEORGIA,STEWART COUNTY,de:97:93:cd:6e:7e,CREDENTIALS, , ,TRUMP: DOWN 14466
11/05/2020 19:57:37,663.233.692.752,E-LEARNING COMM,9c:c8:1a:b3:27:38,524.361.139.664,ARIZONA,COCHISE COUNTY,3f:0e:de:62:cf:86,CREDENTIALS,U,N,TRUMP: DOWN 33690
11/04/2020 21:07:52,76.226.951.932,COMMERCE COMMERCIAL 200,f6:e4:dd:25:4d:cc,763.846.451.374,ARIZONA,MARICOPA COUNTY ELECTION,76:d6:ba:3d:8b:61,FIREWALL,N,N,TRUMP: DOWN 9367
11/03/2020 21:41:45,427.347.438.657,GB CH BEIJING,15:95:b2:ab:a1:9d,592.761.593.831,GEORGIA,BURKE COUNTY ELECTION,3c:32:f6:c8:27:d1,*,Y,N,TRUMP: DOWN 30317
11/02/2020 09:03:09,226.665.765.884,CH E-LEARNING CN NETW LKL-21 LKL-21,5b:7f:c1:a7:56:78,39.575.939.136,ARIZONA,PIMA COUNTY ELECTION,e2:50:9a:36:81:95,FIREWALL, , ,TRUMP: DOWN 25129
11/05/2020 04:53:41,62.338.68.498,NETLIN DATA,50:4e:7b:77:6a:ac,360.519.881.985,GEORGIA,OGLETHORPE COUNTY,15:0a:ec:cf:6b:67,CREDENTIALS,N,Y,TRUMP: DOWN 7455
11/03/2020 18:23:41,961.4.276.620,BG SBUH-187 LTD NET ADDRESSES,6d:b5:fd:7a:ee:46,77.414.50.375,NEVADA,EUREKA COUNTY,61:62:22:3a:c0:29,*, ,Y,TRUMP: DOWN 22167
11/01/2020 17:54:47,981.988.342.473,SBUH-187 NETWORK TECH,a0:d5:84:04:9f:ae,166.865.963.571,NEVADA,CHURCHILL COUNTY,3a:54:a3:54:6d:5f,BOTH, , ,TRUMP: DOWN 20722
